"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 15 14:44:01 GMT 2022","Fri Jul 15 14:44:01 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","searchTest","searchTest(String)",""
"passed","Fri Jul 15 14:43:55 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","652","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [3] Game Name, Tablut",""
"passed","Fri Jul 15 14:43:57 GMT 2022","Fri Jul 15 14:43:57 GMT 2022","65","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [11] Mar",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","69","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [4] Game Name, Checkers",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","112","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [9] Jan",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","36","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [3] Country",""
"skipped","Fri Jul 15 14:44:01 GMT 2022","Fri Jul 15 14:44:01 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageTitleTest","homePageTitleTest()",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","58","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [1] Name",""
"passed","Fri Jul 15 14:43:57 GMT 2022","Fri Jul 15 14:43:57 GMT 2022","403","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [12] Apr",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","30","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [4] Game Name",""
"passed","Fri Jul 15 14:43:57 GMT 2022","Fri Jul 15 14:43:58 GMT 2022","649","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [13] May",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","31","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [5] Bought",""
"passed","Fri Jul 15 14:43:19 GMT 2022","Fri Jul 15 14:43:36 GMT 2022","17077","","com.safina.lyudmila.tests.testcontainers.TestContainerDemoTest","","com.safina.lyudmila.tests.testcontainers.TestContainerDemoTest","mockServerTest","mockServerTest()",""
"passed","Fri Jul 15 14:43:59 GMT 2022","Fri Jul 15 14:44:00 GMT 2022","946","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [16] Aug",""
"passed","Fri Jul 15 14:44:01 GMT 2022","Fri Jul 15 14:44:01 GMT 2022","39","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [19] Nov",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","42","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [7] Rating",""
"passed","Fri Jul 15 14:44:00 GMT 2022","Fri Jul 15 14:44:01 GMT 2022","1243","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [18] Oct",""
"passed","Fri Jul 15 14:43:58 GMT 2022","Fri Jul 15 14:43:59 GMT 2022","809","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [15] Jul",""
"passed","Fri Jul 15 14:43:58 GMT 2022","Fri Jul 15 14:43:58 GMT 2022","27","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [14] Jun",""
"skipped","Fri Jul 15 14:44:01 GMT 2022","Fri Jul 15 14:44:01 GMT 2022","0","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.HomePageTest","homePageURLTest","homePageURLTest()",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","204","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [10] Feb",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","35","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [6] Bank Balance",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","56","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [5] Bank Balance, $51,284",""
"passed","Fri Jul 15 14:43:53 GMT 2022","Fri Jul 15 14:43:54 GMT 2022","882","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [1] Name, Isabelle Black",""
"passed","Fri Jul 15 14:43:54 GMT 2022","Fri Jul 15 14:43:55 GMT 2022","836","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkValueInColumn","checkValueInColumn(String, String) [2] Name, Kevin Hudson",""
"passed","Fri Jul 15 14:44:01 GMT 2022","Fri Jul 15 14:44:01 GMT 2022","50","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [20] Dec",""
"passed","Fri Jul 15 14:44:00 GMT 2022","Fri Jul 15 14:44:00 GMT 2022","28","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [17] Sep",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","34","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [2] Language",""
"passed","Fri Jul 15 14:43:56 GMT 2022","Fri Jul 15 14:43:56 GMT 2022","42","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","","com.safina.lyudmila.tests.ui.playwrightframework.tests.AgGridTest","checkColumn","checkColumn(String) [8] Total Winnings",""
